Date,Open,High,Low,Close,Volume,Adj Close
2015-04-24,566.09998,571.14001,557.25,565.06,4911800,565.06
2015-04-23,541.00,550.96002,540.22998,547.00,3918000,547.00
2015-04-22,534.40002,541.08002,531.75,539.36499,1576600,539.36499
2015-04-21,537.51001,539.39001,533.67499,533.96997,1836600,533.96997
2015-04-20,525.59998,536.09003,524.50,535.38,1674700,535.38
2015-04-17,528.65997,529.84003,521.01001,524.04999,2138200,524.04999
2015-04-16,529.90002,535.59003,529.60999,533.79999,1293100,533.79999
2015-04-15,528.70001,534.72998,523.21997,532.53003,2304000,532.53003
2015-04-14,536.25,537.57001,528.09198,530.39001,2597000,530.39001
2015-04-13,538.40997,544.06,537.31,539.16998,1640800,539.16998
2015-04-10,542.28998,542.28998,537.31,540.01001,1405600,540.01001
2015-04-09,541.03003,541.95001,535.48999,540.78003,1553600,540.78003
2015-04-08,538.38,543.84998,538.38,541.60999,1175300,541.60999
2015-04-07,538.08002,542.69,536.00,537.02002,1299300,537.02002
2015-04-06,532.21997,538.40997,529.57001,536.76501,1320800,536.76501
2015-04-02,540.84998,540.84998,533.84698,535.53003,1711700,535.53003
2015-04-01,548.59998,551.14001,539.50,542.56,1957700,542.56
2015-03-31,550.00,554.71002,546.71997,548.00,1583700,548.00
2015-03-30,551.62,553.46997,548.16998,552.03003,1284000,552.03003
2015-03-27,553.00,555.28003,548.13,548.34003,1892300,548.34003
2015-03-26,557.59003,558.90002,550.65002,555.16998,1568300,555.16998
2015-03-25,570.50,572.26001,558.73999,558.78497,2146400,558.78497
2015-03-24,562.56,574.59003,561.21002,570.19,2576200,570.19
2015-03-23,560.42999,562.35999,555.83002,558.81,1639300,558.81
2015-03-20,561.65002,561.71997,559.04999,560.35999,2609700,560.35999
2015-03-19,559.39001,560.79999,556.14502,557.98999,1194000,557.98999
2015-03-18,552.50,559.78003,547.00,559.50,2128700,559.50
2015-03-17,551.71002,553.79999,548.00,550.84003,1800600,550.84003
2015-03-16,550.95001,556.84998,546.00,554.51001,1636500,554.51001
2015-03-13,553.50,558.40002,544.21997,547.32001,1698900,547.32001
2015-03-12,553.51001,556.37,550.46002,555.51001,1385800,555.51001
2015-03-11,555.14001,558.14001,550.67999,551.17999,1815800,551.17999
2015-03-10,564.25,564.84998,554.72998,555.01001,1787400,555.01001
2015-03-09,566.85999,570.27002,563.53497,568.84998,1059200,568.84998
2015-03-06,574.88,576.67999,566.76001,567.685,1654600,567.685
2015-03-05,575.02002,577.90997,573.40997,575.33002,1385800,575.33002
2015-03-04,571.87,577.10999,568.01001,573.37,1871700,573.37
2015-03-03,570.45001,575.39001,566.52002,573.64001,1700100,573.64001
2015-03-02,560.53003,572.15002,558.75,571.34003,2123800,571.34003
